OPTION CODE,LAND USE CODE,DESCRIPTION,,
AB14,AC23,PARSNIPS ,,
AB14,AC24,RYE - SPRING,,
AB14,AC25,SAGE ,,
AB14,AC26,SPINACH ,,
AB14,AC27,STRAWBERRY ,,
AB14,AC28,SWEET POTATO ,,
AB14,AC29,THYME ,,
AB14,AC30,TRITICALE - SPRING,,
AB14,AC31,TULIP ,,
AB14,AC32,WHEAT - SPRING,,
AB14,AC33,YAM ,,
AB14,AC34,CABBAGE - SPRING,,
AB14,AC35,TURNIP ,,
AB14,AC36,OILSEED - SPRING,,
AB14,AC37,BROWN MUSTARD ,,
AB14,AC38,MUSTARD ,,
AB14,AC39,CRAMBE ,,
AB14,AC40,ROCKET ,,
AB14,AC41,RADISH ,,
AB14,AC42,HORSERADISH ,,
AB14,AC43,TOBACCO ,,
AB14,AC44,POTATO ,,
AB14,AC45,TOMATO ,,
AB14,AC46,AUBERGINE ,,
AB14,AC47,PEPPER ,,
AB14,AC48,CHILLI ,,
AB14,AC49,TREE CHILLI ,,
AB14,AC50,SQUASH ,,
AB14,AC51,JAPANESE PIE SQUASH ,,
AB14,AC52,SIAM PUMPKIN ,,
AB14,AC53,BANANA SQUASH ,,
AB14,AC54,BUTTERNUT SQUASH ,,
AB14,AC55,WATER MELON ,,
AB14,AC56,CUCUMBER ,,
AB14,AC57,MELON ,,
AB14,AC58,MIXED CROP - GROUP 1,,
AB14,AC59,MIXED CROP - GROUP 2,,
AB14,AC60,MIXED CROP - GROUP 3,,
AB14,AC61,MIXED CROP - GROUP 4,,
AB14,AC62,MIXED CROP - GROUP 5,,
AB14,AC63,BARLEY - WINTER,,
AB14,AC64,LINSEED - WINTER,,
AB14,AC65,OATS - WINTER,,
AB14,AC66,WHEAT - WINTER,,
AB14,AC67,OILSEED - WINTER,,
AB14,AC68,RYE - WINTER,,
AB14,AC69,TRITICALE - WINTER,,
AB14,AC70,CABBAGE - WINTER,,
AB14,AC71,CORIANDER,,
AB14,AC72,CORN GROMWELL,,
AB14,AC73,CAMELINA,,
AB14,AC74,PHACELIA,,
AB14,AC75,OCA,,
AB14,AC76,GERMAN CHAMOMILE,,
AB14,AC77,CORN CHAMOMILE,,
AB14,AC78,CORN COCKLE,,
AB14,AC79,CORN FLOWER,,
AB14,AC80,CORN MARIGOLD,,
AB14,AC81,POPPY,,
AB14,AC82,FIELD FOR-GET-ME-NOT,,
AB14,AC83,FOX-GLOVE,,
AB14,AC84,HAY RATTLE,,
AB14,AC85,HEDGE BEDSTRAW,,
AB14,AC86,TEASEL,,
AB14,AC87,QUINOA,,
AB14,AC88,SUNFLOWER,,
AB14,AC89,CRESS,,
AB14,AC90,GLADIOLI,,
AB14,AC91,ECHIUM,,
AB14,AC92,SORGHUM,,
AB14,AC93,STICKY NIGHTSHADE,,
AB14,AC94,SWEET WILLIAMS,,
AB14,AC95,WALLFLOWER,,
AB14,AC96,SAMPHIRE,,
AB14,AC97,ASTER (CHINESE),,
AB14,AC98,LARKSPUR,,
AB14,AC99,NIGELLA,,
AB14,BF11,HALF HEDGE,,
AB14,BF15,BUFFER STRIP,,
AB14,CA01,CATCH CROP,,
AB14,CA02,COVER CROP,,
AB14,CW01,WATERCRESS,,
AB14,FA01,FALLOW,,
AB14,IW11,DRAIN/DITCH/DYKE ON A BOUNDARY,,
